"month_year","Favorable","Somewhat.favorable","Difficult.to.say","Somewhat.unfavorable","Unfavorable"
"2006-06","-","-","-","-","-"
"2006-09","-","-","-","-","-"
"2006-12","0.6","13.2","40.7","35.6","9.5"
"2007-03","0.6","12.4","40.8","35.9","10"
"2007-06","1","14","39.8","35.2","9.9"
"2007-09","0.6","8.9","35.6","41.6","13"
"2007-12","0.2","6.6","28.9","47.4","16.7"
"2008-03","0.3","3.3","20.5","55","20.6"
"2008-06","0","2.4","17.5","54.1","25.8"
"2008-09","0.1","1.3","10.4","52.8","35.3"
"2008-12","0.1","0.6","9.7","45.9","43.6"
"2009-03","0","0.4","5.4","36.6","57.4"
"2009-06","0","0.6","9.6","41.8","47.7"
"2009-09","0.1","0.8","10.6","46.5","41.6"
"2009-12","0.1","0.8","11.7","46.4","40.6"
"2010-03","0.1","0.7","11.4","47.5","40"
"2010-06","0.2","2.1","18.4","49.5","29.4"
"2010-09","0.4","2.1","17.1","52.1","28.1"
"2010-12","0","1.4","14.8","49.8","33.8"
"2011-03","0","2","17.8","51.2","28.5"
"2011-06","0.1","1.6","15.9","52.5","29.9"
"2011-09","0","1.3","15.7","51.5","31.1"
"2011-12","0.2","1.3","14.9","52.8","30.4"
"2012-03","0.1","1.2","17","52.5","29"
"2012-06","0.1","2.6","20.6","52.4","24.2"
"2012-09","0","2","20.4","53.2","24.3"
"2012-12","0.1","1.4","17.2","51.6","29.6"
"2013-03","0.4","4.9","30.7","44.4","19.2"
"2013-06","1.1","12.7","47.2","30.3","8.4"
"2013-09","0.6","11.5","46.3","32","9.5"
"2013-12","0.7","12.5","45.6","32.2","8.7"
"2014-03","0.9","14.9","47.7","29.3","7"
"2014-06","0.9","15.3","44.9","31.1","7.6"
"2014-09","0.8","12","40","37.8","9.1"
"2014-12","0.3","7.2","35.4","44.3","12.4"
"2015-03","0.5","9.9","39.9","39.8","9.7"
"2015-06","1.1","13","41.3","35.1","9"
"2015-09","1.1","14.1","40.3","34.1","10"
"2015-12","0.6","12.1","43.1","35.9","8.3"
"2016-03","0.3","8.7","40.4","41.5","9"
"2016-06","0.2","8.6","38.9","42.7","9.5"
"2016-09","0.3","9.1","41.5","40","8.7"
"2016-12","0.6","7.8","38.8","42.9","9.7"
"2017-03","0.6","10.9","42.5","38.3","7.5"
"2017-06","0.8","11.6","42.5","36.8","7.9"
"2017-09","0.8","11.9","45.3","35.8","5.9"
"2017-12","1.2","14","45.7","31.9","6.9"
"2018-03","1.4","14.5","44","33.1","6.6"
"2018-06","1.2","15.3","45","31.7","6.4"
"2018-09","0.8","15.9","44.8","30.8","7"
"2018-12","0.9","14.5","44.6","33.3","6.3"
"2019-03","1.1","11.9","43.8","35.3","7.3"
"2019-06","0.5","12","41.8","38","7.3"
"2019-09","0.2","9.9","41.3","39","8.9"
"2019-12","0.5","9.5","41.2","39","8.8"
"2020-03","0.4","6.7","36.6","44.4","11.2"
"2020-06","0.2","1.3","16.5","40.9","40.4"
"2020-09","0.1","1","13.9","46.9","37.2"
"2020-12","0.2","1.2","18.9","52.8","26.6"
"2021-03","0.2","1.5","18","49.4","30.3"
"2021-06","0.2","1.9","18.7","49.4","29.1"
"2021-09","0.2","1.5","21.7","51.8","23.9"
"2021-12","0.2","3.1","24.2","52.5","19.5"
"2022-03","0.1","2","19.2","54.1","24.1"
"2022-06","0.3","3.1","22","53.9","20.5"
"2022-09","0.1","2.6","20.1","50.3","26.3"
"2022-12","0.1","2.7","19.3","51","26.4"
"2023-03","0.2","3.4","17.8","50.9","27.3"
"2023-06","0.7","8.3","28.3","42.8","19.1"
"2023-09","0.6","8.2","25","42.2","23.4"
"2023-12","0.6","5.6","25.2","45.6","22.7"
"2024-03","0.9","8.7","29.3","41.5","19.2"
"2024-06","0.5","6.7","23.8","44.6","23.5"
"2024-09","0.2","7","25.7","46.2","20.3"
"2024-12","0.1","4.8","23.9","46.8","24"
