"month_year","Will.improve","Will.remain.the.same","Will.worsen"
"2006-06","16.5","62.3","20.3"
"2006-09","13.8","65.7","19.7"
"2006-12","10.3","67.5","21.7"
"2007-03","12.3","67","20"
"2007-06","10.2","64.3","24.7"
"2007-09","6.7","63.1","29.6"
"2007-12","5","48.1","46.4"
"2008-03","3.6","48.5","47.3"
"2008-06","2.2","36.9","60.5"
"2008-09","3.2","38.4","57.9"
"2008-12","4.8","42","52.7"
"2009-03","8.5","49.2","42"
"2009-06","13.9","61.6","23.8"
"2009-09","14.9","63.4","20.6"
"2009-12","8.6","58.8","31.7"
"2010-03","9.2","62.9","27.1"
"2010-06","11.7","64.8","22.9"
"2010-09","5.9","63.1","30.6"
"2010-12","4.6","64.3","30.5"
"2011-03","7.7","62.4","29.4"
"2011-06","10","50","39.6"
"2011-09","7.3","55.9","36.5"
"2011-12","5.2","53.3","41.1"
"2012-03","6.7","55.9","37.1"
"2012-06","7.8","58.1","33.8"
"2012-09","4.6","54.3","40.7"
"2012-12","4.5","57.7","37.6"
"2013-03","24.1","57.9","17.3"
"2013-06","24.3","58.5","16.8"
"2013-09","16.2","57.8","25.8"
"2013-12","15.9","53.6","29.9"
"2014-03","14.9","53.3","31.4"
"2014-06","12.3","59.7","27.6"
"2014-09","10.9","56.9","31.7"
"2014-12","7.3","54.6","37.8"
"2015-03","11.2","61.1","27.1"
"2015-06","11.4","62.8","25.3"
"2015-09","10.7","60.3","28.5"
"2015-12","8.9","62","28.8"
"2016-03","6.8","55.2","37.7"
"2016-06","5.4","58.3","36.1"
"2016-09","7.7","64.8","27.2"
"2016-12","6.3","60.7","32.7"
"2017-03","8.6","64.3","26.6"
"2017-06","7.5","67.2","24.8"
"2017-09","7.5","66.4","25.5"
"2017-12","8.6","67","24.1"
"2018-03","9.3","65.6","24.5"
"2018-06","8.2","66.7","24.8"
"2018-09","9.4","63.3","26.5"
"2018-12","7.8","51.9","39.8"
"2019-03","8.7","51.3","39.3"
"2019-06","7","49.4","43.1"
"2019-09","6.1","45.6","47.8"
"2019-12","6.5","53.3","39.1"
"2020-03","5.8","45.4","48"
"2020-06","19.3","32.9","47"
"2020-09","14.3","43.5","40.9"
"2020-12","14.4","47.7","37.5"
"2021-03","23.1","44.3","31.6"
"2021-06","20.4","43.6","35.3"
"2021-09","16.6","46.1","36.4"
"2021-12","26","52.5","21"
"2022-03","15.6","50.8","32.7"
"2022-06","13.5","43.8","42.2"
"2022-09","10.5","46","42.9"
"2022-12","9.1","44.4","46.2"
"2023-03","13.1","45.9","40.3"
"2023-06","16.6","50.5","32.4"
"2023-09","10.5","48.2","40.6"
"2023-12","8.4","52.5","38.5"
"2024-03","13.6","55","30.8"
"2024-06","7.9","50.9","40.3"
"2024-09","6.6","56.5","36.2"
"2024-12","5.7","51.2","42.6"
